"lemma","tipatranslemma","translemma","lemma_freq","gloss","form","stressed_syll","monosyll","case","number","short_cluster","full_cluster","noep","ep","first","second","first_transcribed","noep_prop","cluster_size","first_stressed","second_transcribed","last","transcribed","first_sonority","last_sonority","last_class","second_class","second_class_simple","first_class","interesting","prep","tokens","prop","cilower","ciupper","both_sim1","both_sim2","both_either","place_sim1","place_sim2","place_either","hybrid_sim1","hybrid_sim2","hybrid_either","sim1","sim2","either","X"
"взрослый","vzr\'osl1j","vzroslyj",12467,"adult","взро'слым","1",FALSE,"inst","sg","вз","взр",10,96,"v","z","v",0.0943396226415094,"3","TRUE","z","r","vzr",5,5,"glide","strident","strident","glide",TRUE,"s",106,0.905660377358491,0.833343618545836,0.953827536877323,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,11
"взрослый","vzr\'osl1j","vzroslyj",12467,"adult","взро'слыми","1",FALSE,"inst","pl","вз","взр",17,236,"v","z","v",0.0671936758893281,"3","TRUE","z","r","vzr",5,5,"glide","strident","strident","glide",TRUE,"s",253,0.932806324110672,0.894594504782213,0.96037306708295,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,10
"взрыв","vzr\'{\ipabar{\i}{.5ex}{1.1}{}{}}f","vzryv",8852,"explosion","взры'вам","1",FALSE,"dat","pl","вз","взр",28,5,"v","z","v",0.848484848484849,"3","TRUE","z","r","vzr",5,5,"glide","strident","strident","glide",TRUE,"k",33,0.151515151515152,0.0510886993560813,0.318989819710436,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,12
"взрыв","vzr\'{\ipabar{\i}{.5ex}{1.1}{}{}}f","vzryv",8852,"explosion","взры'вами","1",FALSE,"inst","pl","вз","взр",2,23,"v","z","v",0.08,"3","TRUE","z","r","vzr",5,5,"glide","strident","strident","glide",TRUE,"s",25,0.92,0.739694157894786,0.990160409981202,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,13
"взрыв","vzr\'{\ipabar{\i}{.5ex}{1.1}{}{}}f","vzryv",8852,"explosion","взры'вом","1",FALSE,"inst","sg","вз","взр",6,40,"v","z","v",0.130434782608696,"3","TRUE","z","r","vzr",5,5,"glide","strident","strident","glide",TRUE,"s",46,0.869565217391304,0.737434983812373,0.95059265342629,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,14
"взятие","vz\super j\'atii","vzjatie",1963,"taking","взя'тием","1",FALSE,"inst","sg","вз","вз",2,31,"v","z","v",0.0606060606060606,"2","TRUE","z","z","vz",5,3,"strident","strident","strident","glide",TRUE,"s",33,0.939393939393939,0.797735687473645,0.99257416225774,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,15
"взяток","vz\super j\'at@k","vzjatok",2860,"bribes","взя'тками","1",FALSE,"inst","pl","вз","вз",0,24,"v","z","v",0,"2","TRUE","z","z","vz",5,3,"strident","strident","strident","glide",TRUE,"s",24,1,0.857526402277474,1,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,16
"включение","fkl\super ju\t{tS}\'enii","vkljuchenie",2628,"inclusion","включе'нием","2",FALSE,"inst","sg","вк","вкл",98,47,"v","k","v",0.675862068965517,"3","FALSE","k","l","vkl",5,5,"glide","voiceless_stop","obstruent","glide",TRUE,"s",145,0.324137931034483,0.248837895304871,0.406793934309509,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,17
"вкус","fk\'us","vkus",13349,"taste","вку'сом","1",FALSE,"inst","sg","вк","вк",3,735,"v","k","v",0.0040650406504065,"2","TRUE","k","k","vk",5,0,"voiceless_stop","voiceless_stop","obstruent","glide",TRUE,"s",738,0.995934959349594,0.988166565745672,0.999160905071278,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,18
"внимание","vnim\'anii","vnimanie",49696,"attention","внима'нием","2",FALSE,"inst","sg","вн","вн",88,348,"v","n","v",0.201834862385321,"2","FALSE","n","n","vn",5,4,"nasal","nasal","sonorant","glide",TRUE,"s",436,0.798165137614679,0.757373951631927,0.834854390627161,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,20
"внимание","vnim\'anii","vnimanie",49696,"attention","внима'нию","2",FALSE,"dat","sg","вн","вн",38,9,"v","n","v",0.808510638297872,"2","FALSE","n","n","vn",5,4,"nasal","nasal","sonorant","glide",TRUE,"k",47,0.191489361702128,0.09149156800819,0.332597336833885,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,19
"вред","vr\'et","vred",5542,"harm","вредо'м","2",FALSE,"inst","sg","вр","вр",12,14,"v","r","v",0.461538461538462,"2","FALSE","r","r","vr",5,5,"glide","glide","sonorant","glide",TRUE,"s",26,0.538461538461538,0.333708218475292,0.734128782577049,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,22
"вред","vr\'et","vred",5542,"harm","вреду'","2",FALSE,"dat","sg","вр","вр",4,75,"v","r","v",0.0506329113924051,"2","FALSE","r","r","vr",5,5,"glide","glide","sonorant","glide",TRUE,"k",79,0.949367088607595,0.875405201986384,0.986033882110784,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,21
"время","vr\'em\super ja","vremja",349141,"time","вре'менем","1",FALSE,"inst","sg","вр","вр",114,4351,"v","r","v",0.025531914893617,"2","TRUE","r","r","vr",5,5,"glide","glide","sonorant","glide",TRUE,"s",4465,0.974468085106383,0.969407550979974,0.978894232535268,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,NA
"время","vr\'em\super ja","vremja",349141,"time","вре'мени","1",FALSE,"dat","sg","вр","вр",47,1025,"v","r","v",0.0438432835820896,"2","TRUE","r","r","vr",5,5,"glide","glide","sonorant","glide",TRUE,"k",1072,0.95615671641791,0.942121677418177,0.967610691434561,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA
"время","vr\'em\super ja","vremja",349141,"time","вре'мени","1",FALSE,"gen","sg","вр","вр",3,1702,"v","r","v",0.00175953079178886,"2","TRUE","r","r","vr",5,5,"glide","glide","sonorant","glide",TRUE,"s",1705,0.998240469208211,0.994866594675619,0.99963699535935,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,NA
"время","vr\'em\super ja","vremja",349141,"time","времена'м","3",FALSE,"dat","pl","вр","вр",72,77,"v","r","v",0.483221476510067,"2","FALSE","r","r","vr",5,5,"glide","glide","sonorant","glide",TRUE,"k",149,0.516778523489933,0.433557074549994,0.599319575820882,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,23
"время","vr\'em\super ja","vremja",349141,"time","времена'ми","3",FALSE,"inst","pl","вр","вр",15,7,"v","r","v",0.681818181818182,"2","FALSE","r","r","vr",5,5,"glide","glide","sonorant","glide",TRUE,"s",22,0.318181818181818,0.138646521553798,0.54872442757377,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,24
"время","vr\'em\super ja","vremja",349141,"time","времён","2",FALSE,"gen","pl","вр","вр",25,1614,"v","r","v",0.0152532031726663,"2","FALSE","r","r","vr",5,5,"glide","glide","sonorant","glide",TRUE,"s",1639,0.984746796827334,0.977565136300274,0.990105246665351,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,NA
"встречный","fstr\'e\t{tS}n1j","vstrechnyj",4300,"counter","встре'чным","1",FALSE,"inst","sg","вс","встр",4,25,"v","s","v",0.137931034482759,"4","TRUE","s","r","vstr",5,5,"glide","strident","strident","glide",TRUE,"s",29,0.862068965517241,0.683359390560862,0.961105168704561,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,26
"встречный","fstr\'e\t{tS}n1j","vstrechnyj",4300,"counter","встре'чными","1",FALSE,"inst","pl","вс","встр",6,24,"v","s","v",0.2,"4","TRUE","s","r","vstr",5,5,"glide","strident","strident","glide",TRUE,"s",30,0.8,0.614333489003393,0.922864487998934,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,25
"вступление","fstupl\'enii","vstuplenie",4786,"entry","вступле'нием","2",FALSE,"inst","sg","вс","вст",73,126,"v","s","v",0.366834170854271,"3","FALSE","s","t","vst",5,0,"voiceless_stop","strident","strident","glide",TRUE,"s",199,0.633165829145729,0.562102526476116,0.700196660537819,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,29
"вступление","fstupl\'enii","vstuplenie",4786,"entry","вступле'нию","2",FALSE,"dat","sg","вс","вст",82,13,"v","s","v",0.863157894736842,"3","FALSE","s","t","vst",5,0,"voiceless_stop","strident","strident","glide",TRUE,"k",95,0.136842105263158,0.0749224653336762,0.222631249217361,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,27
"вступление","fstupl\'enii","vstuplenie",4786,"entry","вступле'ния","2",FALSE,"gen","sg","вс","вст",4,20,"v","s","v",0.166666666666667,"3","FALSE","s","t","vst",5,0,"voiceless_stop","strident","strident","glide",TRUE,"s",24,0.833333333333333,0.626158286511317,0.952646373392743,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,28
"вторник","ft\'ornik","vtornik",3272,"Tuesday","вто'рника","1",FALSE,"gen","sg","вт","вт",1,49,"v","t","v",0.02,"2","TRUE","t","t","vt",5,0,"voiceless_stop","voiceless_stop","obstruent","glide",TRUE,"s",50,0.98,0.8935304542885,0.999493772016959,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,30
"вход","fx\'ot","vxod",10375,"login","вхо'дом","1",FALSE,"inst","sg","вх","вх",19,33,"v","x","v",0.365384615384615,"2","TRUE","x","x","vx",5,2,"voiceless_fricative","voiceless_fricative","obstruent","glide",TRUE,"s",52,0.634615384615385,0.489558956311425,0.763756388957288,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,32
"вход","fx\'ot","vxod",10375,"login","вхо'ду","1",FALSE,"dat","sg","вх","вх",104,158,"v","x","v",0.396946564885496,"2","TRUE","x","x","vx",5,2,"voiceless_fricative","voiceless_fricative","obstruent","glide",TRUE,"k",262,0.603053435114504,0.541009226590676,0.662738442281123,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,31
"гнев","gn\'ef","gnev",7287,"anger","гне'в","1",TRUE,"acc","sg","гн","гн",64,37,"g","n","g",0.633663366336634,"2","TRUE","n","n","gn",1,4,"nasal","nasal","sonorant","voiced_stop",TRUE,"v",101,0.366336633663366,0.272664997532385,0.468068765597738,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,33
"гнев","gn\'ef","gnev",7287,"anger","гне'ве","1",FALSE,"prep","sg","гн","гн",383,91,"g","n","g",0.808016877637131,"2","TRUE","n","n","gn",1,4,"nasal","nasal","sonorant","voiced_stop",TRUE,"v",474,0.191983122362869,0.15748641489714,0.230375326881783,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,34
"град","gr\'at","grad",3979,"hail","гра'д","1",TRUE,"acc","sg","гр","гр",28,32,"g","r","g",0.466666666666667,"2","TRUE","r","r","gr",1,5,"glide","glide","sonorant","voiced_stop",TRUE,"v",60,0.533333333333333,0.399964902584302,0.663300863749548,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,35
"град","gr\'at","grad",3979,"hail","гра'де","1",FALSE,"prep","sg","гр","гр",31,60,"g","r","g",0.340659340659341,"2","TRUE","r","r","gr",1,5,"glide","glide","sonorant","voiced_stop",TRUE,"v",91,0.659340659340659,0.55250491234864,0.755483051377993,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,37
"град","gr\'at","grad",3979,"hail","гра'ду","1",FALSE,"dat","sg","гр","гр",10,19,"g","r","g",0.344827586206897,"2","TRUE","r","r","gr",1,5,"glide","glide","sonorant","voiced_stop",TRUE,"k",29,0.655172413793103,0.456694272332057,0.820616350764888,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,36
"грех","gr\'ex","grex",17017,"sin","гре'х","1",TRUE,"acc","sg","гр","гр",135,28,"g","r","g",0.828220858895706,"2","TRUE","r","r","gr",1,5,"glide","glide","sonorant","voiced_stop",TRUE,"v",163,0.171779141104294,0.117285151346266,0.23860889116197,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,38
"грех","gr\'ex","grex",17017,"sin","греха'х","2",FALSE,"prep","pl","гр","гр",144,60,"g","r","g",0.705882352941177,"2","FALSE","r","r","gr",1,5,"glide","glide","sonorant","voiced_stop",TRUE,"v",204,0.294117647058824,0.232552203531644,0.361778008052827,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,40
"грех","gr\'ex","grex",17017,"sin","грехе'","2",FALSE,"prep","sg","гр","гр",127,64,"g","r","g",0.664921465968586,"2","FALSE","r","r","gr",1,5,"glide","glide","sonorant","voiced_stop",TRUE,"v",191,0.335078534031414,0.268560250370463,0.406808344331265,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,41
"грех","gr\'ex","grex",17017,"sin","греху'","2",FALSE,"dat","sg","гр","гр",47,53,"g","r","g",0.47,"2","FALSE","r","r","gr",1,5,"glide","glide","sonorant","voiced_stop",TRUE,"k",100,0.53,0.427581484890045,0.630594835805605,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,39
"двор","dv\'or","dvor",41939,"yard","дво'р","1",TRUE,"acc","sg","дв","дв",22,3723,"d","v","d",0.00587449933244326,"2","TRUE","v","v","dv",1,5,"glide","glide","sonorant","voiced_stop",TRUE,"v",3745,0.994125500667557,0.991119370576782,0.996314929588992,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,NA
"двор","dv\'or","dvor",41939,"yard","двора'","2",FALSE,"gen","sg","дв","дв",40,1763,"d","v","d",0.0221852468108708,"2","FALSE","v","v","dv",1,5,"glide","glide","sonorant","voiced_stop",TRUE,"s",1803,0.977814753189129,0.969911526223268,0.984104364390471,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,NA
"двор","dv\'or","dvor",41939,"yard","двора'м","2",FALSE,"dat","pl","дв","дв",7,39,"d","v","d",0.152173913043478,"2","FALSE","v","v","dv",1,5,"glide","glide","sonorant","voiced_stop",TRUE,"k",46,0.847826086956522,0.711308995939951,0.936555701874953,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,43
"двор","dv\'or","dvor",41939,"yard","двора'х","2",FALSE,"prep","pl","дв","дв",9,276,"d","v","d",0.0315789473684211,"2","FALSE","v","v","dv",1,5,"glide","glide","sonorant","voiced_stop",TRUE,"v",285,0.968421052631579,0.940901759542145,0.985460407083855,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,47
"двор","dv\'or","dvor",41939,"yard","дворе'","2",FALSE,"prep","sg","дв","дв",22,4443,"d","v","d",0.00492721164613662,"2","FALSE","v","v","dv",1,5,"glide","glide","sonorant","voiced_stop",TRUE,"v",4465,0.995072788353863,0.992549591933351,0.996909644088371,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,NA
"двор","dv\'or","dvor",41939,"yard","дворо'в","2",FALSE,"gen","pl","дв","дв",12,30,"d","v","d",0.285714285714286,"2","FALSE","v","v","dv",1,5,"glide","glide","sonorant","voiced_stop",TRUE,"s",42,0.714285714285714,0.554161196692031,0.842808533234255,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,45
"двор","dv\'or","dvor",41939,"yard","дворо'м","2",FALSE,"inst","sg","дв","дв",55,21,"d","v","d",0.723684210526316,"2","FALSE","v","v","dv",1,5,"glide","glide","sonorant","voiced_stop",TRUE,"s",76,0.276315789473684,0.179872427557151,0.390857050783399,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,46
"двор","dv\'or","dvor",41939,"yard","двору'","2",FALSE,"dat","sg","дв","дв",370,640,"d","v","d",0.366336633663366,"2","FALSE","v","v","dv",1,5,"glide","glide","sonorant","voiced_stop",TRUE,"k",1010,0.633663366336634,0.603099275194621,0.663445731310349,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,44
"двор","dv\'or","dvor",41939,"yard","дворы'","2",FALSE,"acc","pl","дв","дв",3,71,"d","v","d",0.0405405405405405,"2","FALSE","v","v","dv",1,5,"glide","glide","sonorant","voiced_stop",TRUE,"v",74,0.959459459459459,0.886062743253437,0.991560243629236,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,42
"дворец","dvar\'e\t{ts}","dvorets",15180,"palace","дворе'ц","2",FALSE,"acc","sg","дв","дв",12,1249,"d","v","d",0.00951625693893735,"2","FALSE","v","v","dv",1,5,"glide","glide","sonorant","voiced_stop",TRUE,"v",1261,0.990483743061063,0.983436072185555,0.995073418359926,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,NA
"дворец","dvar\'e\t{ts}","dvorets",15180,"palace","дворца'х","2",FALSE,"prep","pl","дв","дв",15,75,"d","v","d",0.166666666666667,"2","FALSE","v","v","dv",1,5,"glide","glide","sonorant","voiced_stop",TRUE,"v",90,0.833333333333333,0.74004944639158,0.903608572410818,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,50
"дворец","dvar\'e\t{ts}","dvorets",15180,"palace","дворце'","2",FALSE,"prep","sg","дв","дв",20,1556,"d","v","d",0.0126903553299492,"2","FALSE","v","v","dv",1,5,"glide","glide","sonorant","voiced_stop",TRUE,"v",1576,0.987309644670051,0.980468526063915,0.992231639227471,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,NA
"дворец","dvar\'e\t{ts}","dvorets",15180,"palace","дворцу'","2",FALSE,"dat","sg","дв","дв",66,139,"d","v","d",0.321951219512195,"2","FALSE","v","v","dv",1,5,"glide","glide","sonorant","voiced_stop",TRUE,"k",205,0.678048780487805,0.609413427407386,0.741445394230444,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,49
"дворец","dvar\'e\t{ts}","dvorets",15180,"palace","дворцы'","2",FALSE,"acc","pl","дв","дв",5,16,"d","v","d",0.238095238095238,"2","FALSE","v","v","dv",1,5,"glide","glide","sonorant","voiced_stop",TRUE,"v",21,0.761904761904762,0.528340172345379,0.917824124406977,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,48
"дворик","dv\'orik","dvorik",1365,"patio","дво'рик","1",FALSE,"acc","sg","дв","дв",4,50,"d","v","d",0.0740740740740741,"2","TRUE","v","v","dv",1,5,"glide","glide","sonorant","voiced_stop",TRUE,"v",54,0.925925925925926,0.821066570833927,0.979449032701905,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,51
"дворик","dv\'orik","dvorik",1365,"patio","дво'рике","1",FALSE,"prep","sg","дв","дв",10,82,"d","v","d",0.108695652173913,"2","TRUE","v","v","dv",1,5,"glide","glide","sonorant","voiced_stop",TRUE,"v",92,0.891304347826087,0.80917666673289,0.946630060543069,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,52
"день","d\'en\super j (dn\super j-)","djenj",240587,"day","дне'й","1",TRUE,"gen","pl","дн","дн",17,11,"d","n","d",0.607142857142857,"2","TRUE","n","n","dn",1,4,"nasal","nasal","sonorant","voiced_stop",TRUE,"s",28,0.392857142857143,0.215042829160961,0.594231793512437,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,55
"день","d\'en\super j (dn\super j-)","djenj",240587,"day","дню'","1",TRUE,"dat","sg","дн","дн",109,461,"d","n","d",0.191228070175439,"2","TRUE","n","n","dn",1,4,"nasal","nasal","sonorant","voiced_stop",TRUE,"k",570,0.808771929824561,0.774040825054657,0.840264320584884,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,54
"день","d\'en\super j (dn\super j-)","djenj",240587,"day","дня'","1",TRUE,"gen","sg","дн","дн",18,3373,"d","n","d",0.00530816868180478,"2","TRUE","n","n","dn",1,4,"nasal","nasal","sonorant","voiced_stop",TRUE,"s",3391,0.994691831318195,0.991623731462918,0.996851099667707,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,NA
"день","d\'en\super j (dn\super j-)","djenj",240587,"day","дня'м","1",TRUE,"dat","pl","дн","дн",24,10,"d","n","d",0.705882352941177,"2","TRUE","n","n","dn",1,4,"nasal","nasal","sonorant","voiced_stop",TRUE,"k",34,0.294117647058824,0.150983664423028,0.474781060340486,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,53
